名称,位置,总价,每平方单价,介绍
芙蓉花园 志平壹零壹 精装修 南北 楼层好采光佳 急售,芙蓉花园（金州）,77,"8,629元/平",高楼层(共18层)2室1厅|89.24平米|南北
圣嘉美地 2室2厅 南 北,圣嘉美地,30,"4,676元/平",高楼层(共5层)2室2厅|64.17平米|南北
悦和山海一期楼汪视野verygood能看海,远洋保利悦和山海,220,"27,916元/平",高楼层(共20层)2室1厅|78.81平米|南北
圣嘉美地步梯二楼，楼层好家装保持干净。,圣嘉美地,45,"6,082元/平",低楼层(共6层)2室1厅|74平米|南北
南北通厅 精装 有种菜地方 有地下一层,金地檀境,198,"22,629元/平",低楼层(共7层)2室2厅|87.5平米|南北
急售倚园里两室位置好交通生活便利业主诚心出售此房,倚园里小区,36,"4,237元/平",高楼层(共6层)2室1厅|84.98平米|南北
南北通透格局，独门独院，装修到位,中铁春风十里,140,"15,318元/平",低楼层(共1层)2室2厅|91.4平米|南西北
跃层格局好，无遮挡视野好，房主诚心出售,金湾山城,58,"11,084元/平",高楼层(共16层)3室2厅|52.33平米|南
昌盛经典二期 3室1厅 南 北,昌盛经典二期,95,"8,307元/平",中楼层(共11层)3室1厅|114.37平米|南北
德华小区，矮楼层，配套设施齐全，生活上学交通都方便,德华小区,65,"7,151元/平",低楼层(共7层)3室2厅|90.9平米|南北
南北通透格局，落地窗带阳光，楼层好，采光充足,名贵山庄亲情园,105,"13,121元/平",中楼层(共5层)2室1厅|80.03平米|南北
自住精装修拎包入住，户型格局好，诚心出售,侯二小区,42,"9,157元/平",高楼层(共5层)1室1厅|45.87平米|南北
泡崖一区 南北通厅户型 视野好 采光足,泡崖一区,69.8,"9,132元/平",高楼层(共7层)2室2厅|76.44平米|南北
东城天下 3室2厅 南 北,东城天下,109,"10,195元/平",低楼层(共12层)3室2厅|106.92平米|南北
华润C2区纯洋房，三室两卫，纯洋房。,华润置地大连湾国际社区C2区,170,"14,784元/平",中楼层(共7层)3室2厅|114.99平米|南北
步梯精装修 南北两室 地势平坦 采光充足 购物便利,鑫业大厦散盘,22.5,"4,688元/平",高楼层(共7层)2室1厅|48平米|南北
桃山小区，南向两室户型，采光好无遮挡,桃山小区,59,"8,017元/平",高楼层(共7层)2室1厅|73.6平米|南
金纺小区 三楼  南北通厅   有仓房,金纺小区,49,"7,308元/平",中楼层(共6层)2室2厅|67.05平米|南北
凤凰佳苑，面积66.5平，两室一厅一厨一卫,凤凰嘉苑,45.8,"6,893元/平",低楼层(共4层)2室2厅|66.45平米|南北
封闭小区，环境优美，人车分流，居住舒适,龙湖金湾天钜,81,"11,025元/平",低楼层(共18层)2室1厅|73.47平米|南北
此小区，位置好，交通便利，楼下公交站。,水仙花园(普兰店),26.5,"2,991元/平",高楼层(共6层)3室2厅|88.6平米|南北
安盛商圈 交通便利无欠贷 好户型大两室 高楼层 近万达,开建阳光馨苑,85,"10,004元/平",中楼层(共32层)2室1厅|84.97平米|南北
东城天下 3室2厅 南 北,东城天下,120,"10,546元/平",高楼层(共11层)3室2厅|113.79平米|南北
大有恬园南北通透，多层精装，有花园采光充足,大有恬园,310,"24,058元/平",低楼层(共6层)3室2厅|128.86平米|南北
此房满五唯一 南北通透 房主自己装修没怎么住,香海印象,47.8,"5,611元/平",高楼层(共17层)2室1厅|85.19平米|南北
近市场，购物方便，好楼层，采光好，急售,金石小区,30,"6,953元/平",中楼层(共6层)1室1厅|43.15平米|南
楼层好，视野辽阔，采光充足，成熟小区，配套齐全，,翠竹小区,101,"7,015元/平",高楼层(共6层)4室2厅|143.99平米|东西
金色华庭  小户型  好楼层  诚心出售,金色华庭,21.5,"5,751元/平",中楼层(共30层)1室1厅|37.39平米|北
车站 锦龙商场 市场生活配套齐全 出行方便 户型方正,丰荣街,24,"4,445元/平",高楼层(共6层)2室2厅|54平米|南
中山区地铁口年轻人过度 单价低3楼好房两室好房,民运巷,53,"9,957元/平",中楼层(共6层)2室1厅|53.23平米|南
八十 芙蓉 中间楼层 位置好 近地铁,王家桥,48,"12,070元/平",中楼层(共6层)1室1厅|39.77平米|南
半山坡下的改善大3室户型 次顶楼 毛坯 诚心卖随时看房,海创半山花园,228,"16,130元/平",高楼层(共7层)3室2厅|141.36平米|南北
金润B区 南北两室保持很好 位置安静拎包住 配套完善,金润小区B区,60,"8,758元/平",低楼层(共6层)2室1厅|68.51平米|南北
几十万浅色系现代精装修位置好楼层好户型好,万棵树,188,"16,979元/平",高楼层(共17层)3室1厅|110.73平米|南西北
泉水轻轨站旁 电梯小两室总价低适合养老出租刚需过度,泉水家年华,71,"11,224元/平",低楼层(共22层)2室1厅|63.26平米|南
现代雅筑2室 带阳台 可养宠物 花草 不是顶楼,现代雅筑,56,"6,639元/平",高楼层(共30层)2室2厅|84.36平米|南西
海脉未来城 2室1厅 南 北,海脉未来城,95,"11,830元/平",低楼层(共18层)2室1厅|80.31平米|南北
北京街南 3室1厅 南 北,北京街南,130,"12,065元/平",高楼层(共8层)3室1厅|107.75平米|南北
封闭小区 精装修三室  采光足  保持好 拎包入住,恒大港湾,118,"10,003元/平",低楼层(共33层)3室2厅|117.97平米|南北
抱龙山庄 2室1厅 南 北,抱龙山庄,53.8,"7,819元/平",中楼层(共4层)2室1厅|68.81平米|南北
鹿港小镇精装修一室，楼层适中拎包入住,鹿港小镇,60,"11,353元/平",高楼层(共33层)1室1厅|52.85平米|南
绿香花园 南北通厅 带南 露 台  精装修 保持好,绿香花园,89,"9,925元/平",高楼层(共7层)2室2厅|89.68平米|南北
泡崖一区 两室一厅 首付少月还少 近车站市场看房钥匙,泡崖一区,49,"10,217元/平",高楼层(共7层)2室1厅|47.96平米|东西
碧海尚城 2室1厅 南,碧海尚城,63.8,"6,755元/平",低楼层(共29层)2室1厅|94.45平米|南
丰荣派出所 2室1厅 南 北,丰荣派出所,30,"3,611元/平",高楼层(共6层)2室1厅|83.09平米|南北
封闭小区环境优美景色迷人，空气清新念书近幼儿园近，,万科莫亚小镇,39,"4,492元/平",低楼层(共24层)3室2厅|86.83平米|南北
南北通厅通卧户型，中间楼层，全明户型，业主诚心卖,新华绿洲,158,"17,617元/平",中楼层(共6层)2室2厅|89.69平米|南北
好房就等有缘人，户型好，视野好，采光好。,万科莫亚小镇,32,"3,728元/平",低楼层(共31层)2室2厅|85.85平米|南北
万科莫亚小镇 2室2厅 南 北,万科莫亚小镇,32,"3,727元/平",低楼层(共31层)2室2厅|85.88平米|南北
好房就等有缘人。户型好，采光好。,万科莫亚小镇,32,"3,727元/平",低楼层(共31层)2室2厅|85.88平米|南
此房房主诚心出售此房，看房方便，看好了可议，,桃园小区,38,"6,493元/平",中楼层(共6层)2室1厅|58.53平米|南北
夏威夷花园 2室1厅 南 北,夏威夷花园,32,"3,846元/平",中楼层(共11层)2室1厅|83.21平米|南北
两室户型 中间楼层 好位置 交通便利 配套完善,倚山里小区,55,"6,687元/平",中楼层(共6层)2室1厅|82.26平米|南北
一楼东明厅 有百平地 可做院 近地铁,泡崖美林园,78,"10,923元/平",低楼层(共6层)2室1厅|71.41平米|南北
华润海中国听海园 2室1厅 南,华润海中国听海园,103,"12,044元/平",高楼层(共34层)2室1厅|85.52平米|南
此房户型好，纯实木装修，保持好，十全十美楼层。,凤凰城,100,"8,351元/平",高楼层(共11层)3室1厅|119.75平米|南北
轴百散盘，面积61.28平，两室一厅一厨一卫,轴百散盘,29,"4,733元/平",中楼层(共6层)2室1厅|61.28平米|南北
锦霞北园 2室1厅 南 北,锦霞北园,88,"11,784元/平",中楼层(共7层)2室1厅|74.68平米|南北
远洋假日养生庄园 3室2厅 南 北,远洋假日养生庄园,65,"7,204元/平",中楼层(共8层)3室2厅|90.24平米|南北
此房位置好，在南门口位置，楼层好，出行方便,凤凰城,115,"8,647元/平",中楼层(共11层)3室1厅|133平米|南北
封闭小区、自住精装、楼层适中视野好、可拎包入住,众益阳光海岸,74.8,"8,193元/平",中楼层(共34层)2室1厅|91.3平米|南
精装修 婚房  南北通透 近车站 近市场 采光好 楼层好,万科翡翠四季,89,"11,730元/平",高楼层(共12层)2室2厅|75.88平米|南北
精装修 证件齐全 随时看房 视野开阔 随时签约,泉水N2区,95,"11,382元/平",中楼层(共30层)2室1厅|83.47平米|南
此房厦上一楼，近市场，近公交车站，念书近，...,久寿街,38,"5,191元/平",低楼层(共6层)2室1厅|73.21平米|南北
金海人家 3室2厅 南 北,金海人家,90,"6,153元/平",高楼层(共6层)3室2厅|146.29平米|南北
一河两公园 2室1厅 南,一河两公园,80,"9,199元/平",低楼层(共31层)2室1厅|86.97平米|南
此房2室，户型方正，一梯两户小高层，视野好采光佳！,金海国际花园,85,"8,078元/平",低楼层(共12层)3室1厅|105.23平米|南北
精装修保持好，南北通透，采光好。,海尚明珠,78,"9,543元/平",低楼层(共18层)2室1厅|81.74平米|南北
高层双南户型 70年产权 精装修 近地铁,悦丽海湾三期,170,"22,185元/平",高楼层(共33层)2室1厅|76.63平米|南
集美郡南北通厅两室，楼层好，采光好,金科金弘基·集美郡,59,"7,293元/平",高楼层(共33层)2室1厅|80.91平米|南北
电梯楼房，楼层很好，视野开阔，装修保持良好,东城天下,76,"8,223元/平",高楼层(共10层)2室1厅|92.43平米|南北
鑫合小区 2室1厅 南 北,鑫合小区,19,"4,131元/平",中楼层(共6层)2室1厅|46平米|南北
位置好南北通透，采光视野好，交通购物方便,高城花园,38,"4,885元/平",高楼层(共6层)2室1厅|77.8平米|南北
此房南北通透格局，楼层好，视野宽阔，采光充足,金海明珠,79.9,"8,540元/平",中楼层(共33层)2室1厅|93.57平米|南北
双泳池双会所，高楼层视野好，南向面宽多采光无遮挡,绿城九龙仓桃源里,259,"21,291元/平",中楼层(共32层)3室2厅|121.65平米|南
金石滩花园洋房两室精装修位置好出行方便,纳帕溪谷御山,65,"8,220元/平",低楼层(共8层)2室2厅|79.08平米|南北
房子南北通透，采光充足，楼层好，视野开阔，配套齐全,运达御澜观邸,135,"10,267元/平",中楼层(共17层)3室2厅|131.49平米|南北
万国三期一室自主好房子 装修保持好采光好,万国宫馆三期,37.5,"9,523元/平",中楼层(共19层)1室0厅|39.38平米|西
新机场商圈！精装修！南北向！海景房！视野好前排海景,通用阳光丽景,69,"7,563元/平",中楼层(共29层)2室1厅|91.24平米|南北
泡崖一区 3室2厅 南 北,泡崖一区,99,"9,287元/平",高楼层(共6层)3室2厅|106.61平米|南北
翰林观海南向小户型70年产权可以公积金保持好提包可住,翰林观海公寓,63,"12,916元/平",中楼层(共6层)1室1厅|48.78平米|南
春和小区的两室一厅，看房方便，,春和小区,41,"5,991元/平",高楼层(共5层)2室1厅|68.44平米|南北
金湾山城 2室1厅 南 北,金湾山城,63,"8,299元/平",中楼层(共18层)2室1厅|75.92平米|南北
单价低 都市阳光标准3室2卫 采光好  室内保持好,都市阳光,58,"5,467元/平",中楼层(共6层)3室1厅|106.1平米|南北
大两室文翰花园新装修采光好，看房方便,文瀚花园,75,"5,053元/平",高楼层(共5层)2室1厅|148.44平米|南北
改善大4室，40多万硬装，附带地下车位，中间层随时看,海创半山花园,239,"14,896元/平",中楼层(共11层)4室2厅|160.45平米|南北
泰安花园 2室2厅 南 北,泰安花园,148,"17,093元/平",中楼层(共7层)2室2厅|86.59平米|南北
精装修，2楼，南北向，近地铁，近市场，欢迎实地看房,侯二小区,73,"11,813元/平",低楼层(共7层)2室1厅|61.8平米|南北
三楼 南北 优质好房 地脚好 生活便利,实验小学英华街,112,"20,919元/平",中楼层(共6层)2室1厅|53.54平米|南北
金润小区B区 2室1厅 南 东 北,金润小区B区,50,"7,149元/平",高楼层(共7层)2室1厅|69.94平米|南东北
"格局好复式上下两层,房子楼板已经打好了。",裕和苑,55,"8,867元/平",低楼层(共6层)2室1厅|62.03平米|南北
南棉小区贴地一楼，外仓房，单价低，南北朝向,南棉小区,35,"7,000元/平",低楼层(共5层)2室1厅|50平米|南北
414小区 水果院西门 两室两厅 位置好 配套好,414小区,58.8,"6,838元/平",中楼层(共6层)2室2厅|86平米|南北
水彩巷 2室1厅 南 北,水彩巷,80,"12,069元/平",高楼层(共7层)2室1厅|66.29平米|南北
星台花园二期 2室1厅 南 北,星台花园二期,185,"22,979元/平",中楼层(共6层)2室1厅|80.51平米|南北
汇贤云玺 1室1厅 南,汇贤云玺,75,"15,625元/平",中楼层(共20层)1室1厅|48平米|南
都悦里 2室2厅 南 北,都悦里,46,"6,809元/平",高楼层(共9层)2室2厅|67.56平米|南北
玉意街 2室2厅 南 北,玉意街,91.8,"9,528元/平",高楼层(共6层)2室2厅|96.35平米|南北
近地铁站一号线 视野好 诚心出售 周二 汇文,王家桥小区,45,"10,003元/平",高楼层(共7层)1室1厅|44.99平米|南北
幸福e家五期 多层洋房三室精装修保持好 全明户型,幸福e家五期,495,"33,049元/平",中楼层(共7层)3室2厅|149.78平米|南北
房子是平地二楼有厦子屋里保持的很好,中心路三段,21,"4,222元/平",低楼层(共6层)2室1厅|49.74平米|南
新增唯美两居室北明卫近地铁出行便利手续清晰 诚售,唯美品格,238,"23,101元/平",低楼层(共18层)2室2厅|103.03平米|南北
精装修两室 近车站市场 公园  周水汇文,大连门广场,85,"14,422元/平",低楼层(共8层)2室1厅|58.94平米|东西
华通二期精装修小户型 格局方正无斜角,华通和平海岸二期,26,"4,548元/平",中楼层(共10层)1室1厅|57.17平米|南
此房南北通透保持好 小区无坡 到地铁口50米，,兴达花园,90,"14,884元/平",低楼层(共6层)2室1厅|60.47平米|南北
山屏街位置好，南北通透中间楼层，婚房装修拎包入住,山屏街,75,"12,712元/平",中楼层(共6层)2室1厅|59平米|南北
华润七期 海景大平层 高楼层边户  实景更佳 有钥匙,华润海中国七期,319,"22,223元/平",高楼层(共34层)3室2厅|143.55平米|南北
华润海中国七期 一线海景 精装大平层 实地更佳 有钥匙,华润海中国七期,328,"22,815元/平",高楼层(共34层)3室2厅|143.77平米|南北
幸福e家五期 2室2厅 南 北,幸福e家五期,330,"34,943元/平",中楼层(共10层)2室2厅|94.44平米|南北
一线海景房 可看海 一梯两户 带车位,大连海湾城一期,110,"13,068元/平",高楼层(共33层)2室1厅|84.18平米|东南
新昌街 2室1厅 南 北,新昌街,65.8,"9,997元/平",中楼层(共6层)2室1厅|65.82平米|南北
亿达春田馥园 2室2厅 南 北,亿达春田馥园,142,"15,197元/平",中楼层(共5层)2室2厅|93.44平米|南北
小平岛入口 精装修刚需两室 拎包入住,波菲蓝岛,128,"14,121元/平",低楼层(共33层)2室2厅|90.65平米|西南
大华七期前排，楼层好，采光视野好，婚房装修,大华锦绣华城七期,165,"21,294元/平",中楼层(共28层)2室1厅|77.49平米|南
地铁边，南北向，采光好，手续清晰，欢迎实地看房了解,侯一小区,52,"10,615元/平",高楼层(共7层)2室0厅|48.99平米|南北
七迎路 2室1厅 南,七迎路,43,"6,752元/平",高楼层(共6层)2室1厅|63.69平米|南
五楼楼层好南北通透采光好通风好,刘家桥,63,"11,579元/平",高楼层(共6层)2室1厅|54.41平米|南北
诚心出售 小区环境好 近海边  拎包入住,红星海三期境界,86,"10,640元/平",中楼层(共30层)2室1厅|80.83平米|南
兴达福山居 2室1厅 南 北,兴达福山居,75,"13,744元/平",中楼层(共16层)2室1厅|54.57平米|南北
胜利小区 1室1厅 南,胜利小区,36.9,"9,000元/平",低楼层(共6层)1室1厅|41平米|南
泉水友好园 3室2厅 南 北,泉水友好园,158,"12,566元/平",中楼层(共6层)3室2厅|125.74平米|南北
庙上小区 价钱便宜 户型好 诚心卖,庙上小区,48,"5,511元/平",高楼层(共4层)2室1厅|87.1平米|南北
4楼南北向 位置好 采光充足 近车站 地铁 市场,侯二小区,75.8,"14,238元/平",中楼层(共5层)2室1厅|53.24平米|南北
适合年轻人和老人，楼下配套齐全，五一公园，幼儿园,南山路（金州）,50,"8,334元/平",中楼层(共6层)2室1厅|60平米|南
数控大厦 2室1厅 东北,数控大厦,142,"17,510元/平",高楼层(共20层)2室1厅|81.1平米|东北
南向一室，采光充足，六中，小区封闭管理,正源吉祥e家,39,"9,508元/平",高楼层(共18层)1室0厅|41.02平米|南
704终点站，中间楼层，近市场,五二三厂,26.5,"7,916元/平",中楼层(共5层)1室1厅|33.48平米|南
易和熙园 3室2厅 南 北,易和熙园,190,"19,452元/平",高楼层(共19层)3室2厅|97.68平米|南北
星海融汇 两室婚房精装修 小区C位 不临街 无遮挡,星海融汇,205,"23,637元/平",高楼层(共27层)2室2厅|86.73平米|南北
精装两室，保持很好，开发商原装修品质 干净。,万科蓝山,169,"22,525元/平",低楼层(共15层)2室1厅|75.03平米|南北
德泰岭秀逸城B区 2室1厅 南 北,德泰岭秀逸城B区,78,"10,198元/平",高楼层(共33层)2室1厅|76.49平米|南北
康馨壹品稀有2室精装拎包即住，全天采光视野无遮挡！,康馨壹品,67,"10,337元/平",中楼层(共18层)2室1厅|64.82平米|南
位置好近西山早市交通便利地势平坦,花园小区,24,"3,411元/平",高楼层(共6层)2室1厅|70.38平米|南北
锦泉源D2区 2室2厅 南 北,锦泉源D2区,90,"11,672元/平",低楼层(共11层)2室2厅|77.11平米|南北
金家街 ，金二操场旁边，精装修两室，拎包住，好楼层,金二小学北,98,"16,397元/平",低楼层(共7层)2室1厅|59.77平米|南北
台山 1室1厅 南,台山,33,"9,392元/平",高楼层(共6层)1室1厅|35.14平米|南
和嘉佳园  小两室户型 视野好  采光充足,和嘉佳园,45,"8,181元/平",中楼层(共18层)2室1厅|55.01平米|南
华润海中国四期精装修三室南北通透户型采光好视野好,华润海中国四期,158,"13,541元/平",中楼层(共34层)3室2厅|116.69平米|南北
小户型.南北通厅.有阳台.采光充足有阁楼,明月山庄,72,"10,929元/平",高楼层(共5层)2室2厅|65.88平米|南北
南卧室，南客厅，精装修两居室，有电梯采光好视野好,鹏辉新天居二期,88,"12,559元/平",高楼层(共7层)2室1厅|70.07平米|南
此房南北通透  采光充足  设施齐全  交通便利,五一路一段,18.9,"4,340元/平",高楼层(共6层)1室1厅|43.55平米|南北
金地艺境 精装三室 带大阳台 已包好,金地艺境,139.8,"13,606元/平",高楼层(共7层)3室2厅|102.75平米|南北
封闭小区 南向采光足  出行便利  配套齐全,佳地天成一期,69,"10,593元/平",中楼层(共5层)2室1厅|65.14平米|南
星海自由港 1室1厅 东北,星海自由港,96,"21,903元/平",高楼层(共5层)1室1厅|43.83平米|东北
千山心城 南北通厅 实用面积大 精装修拎包住,千山心城,69,"10,442元/平",高楼层(共6层)2室2厅|66.08平米|南北
中山区景山 宪卫里前排视野开阔采光好 精装两室一厅,宪卫里,69,"10,770元/平",中楼层(共7层)2室1厅|64.07平米|东
首开七十年产权非填海住宅户型采光视野好看房方便,首开铂郡,299,"25,053元/平",高楼层(共32层)3室2厅|119.35平米|南北
双南户型 金叁76 适合居住 生活配套齐全 看房方便,76中学桥南,59.8,"12,894元/平",高楼层(共4层)2室1厅|46.38平米|南
大华爱琴湾 精装修楼层好，步行辽师附50米生活便利,大华爱琴湾,180,"19,718元/平",中楼层(共24层)2室2厅|91.29平米|南
电梯洋房 一梯两户 4室2厅2卫 采光好 近软件园 南北向,斯坦福院落,372,"23,013元/平",中楼层(共6层)4室2厅|161.65平米|南北
南沙桃山新上，双南户型 精装修 阳光明媚 视野开阔,桃山小区,65,"9,465元/平",高楼层(共7层)2室1厅|68.68平米|南
英华街实  验两室小户型 近青泥洼桥地铁站 劳动公园,实验小学英华街,96,"22,075元/平",高楼层(共6层)2室1厅|43.49平米|南北
国宝星月湾A2区 2室1厅 南,国宝星月湾A2区,84,"10,565元/平",中楼层(共31层)2室1厅|79.51平米|南
此房位置好，一室一厅，陪读上班都方便,良友小区,20.8,"5,004元/平",高楼层(共5层)1室1厅|41.57平米|南
封闭小区中级楼层大客厅出行方便,天都花园,72,"7,611元/平",中楼层(共7层)2室2厅|94.6平米|南北
碧桂园御州府 4室1厅 南 北,碧桂园御州府,155,"12,166元/平",低楼层(共11层)4室1厅|127.41平米|南北
地热二楼家具家电齐全拎包入住下楼就是幼儿园,泡崖康顺园,67.8,"10,258元/平",低楼层(共7层)2室1厅|66.1平米|南
妇婴小区步梯三楼，家装位置好地势平坦。,妇婴小区,28,"5,694元/平",中楼层(共6层)2室1厅|49.18平米|南
王家桥 南北两室 近地铁 交通便利,王家桥,68,"11,706元/平",高楼层(共6层)2室1厅|58.09平米|南北
此房满五唯一封闭小区人车分流楼层好采光充足近轻轨站,枫丹丽舍,48.8,"5,521元/平",中楼层(共11层)2室2厅|88.39平米|南北
三室带装修，南北向楼层好，下楼就是公园,观澜壹号,55,"5,382元/平",高楼层(共31层)2室2厅|102.2平米|南北
观澜壹号 电梯房近世界和平公园 小户型拎包入住,观澜壹号,25,"5,691元/平",高楼层(共31层)1室0厅|43.93平米|南
大湖山语 正规三室 高品质社区 园区景观 看房方便,大湖山语,170,"14,710元/平",低楼层(共33层)3室1厅|115.57平米|南北
位置好 中间楼层 装修好 出行方便 诚心出售,金四街,86,"15,986元/平",低楼层(共3层)2室1厅|53.8平米|南
泉水金地檀溪精装修3室2厅 独立厨房近公园地铁,金地檀溪,200,"17,354元/平",高楼层(共18层)3室2厅|115.25平米|南北
房主诚心出售 二室二厅 精装修 近地铁,保利时代C12区,99.8,"11,906元/平",低楼层(共17层)2室2厅|83.83平米|南北
金广东海岸 3室2厅 南 北,金广东海岸,280,"18,295元/平",中楼层(共23层)3室2厅|153.05平米|南北
电梯洋房中间楼层五明户型南北通厅,枫丹丽城D6区,149,"16,641元/平",中楼层(共7层)2室2厅|89.54平米|南北
古城丙区 南北通透 采光好 装修好 拎包入住,古城丙区,55,"6,995元/平",高楼层(共7层)2室1厅|78.63平米|南北
长红街 南北通透 中间楼层 精装两室  近水仙分部,34中长红街,150,"24,331元/平",中楼层(共6层)2室1厅|61.65平米|南北
近地铁不是顶楼两室南北向总房款低,松江小区,43,"7,004元/平",高楼层(共7层)2室1厅|61.4平米|南北
万科城 3室2厅 南 北,万科城,90,"9,385元/平",低楼层(共34层)3室2厅|95.9平米|南北
中冶蓝城一期一室不把道边，房主诚心出售4楼,中冶蓝城E区,58,"13,123元/平",中楼层(共8层)1室0厅|44.2平米|南
东港清水住宅，一线海景，动静分区，好楼层，无遮挡。,东港天鹅湾,265,"19,888元/平",高楼层(共51层)3室2厅|133.25平米|南北
三室两卫 精装修 南北通透 看房方便,佳兆业悦璟,99,"8,182元/平",中楼层(共29层)3室2厅|121平米|南北
东港唯一纯洋房社区，龙湖的园林品质和物业服务。,龙湖·水晶郦湾铂湾,800,"51,844元/平",高楼层(共9层)5室3厅|154.31平米|南北
未名山一期 三居室大平层，南北通透 户型规整 看海景,未名山,410,"22,914元/平",高楼层(共33层)3室2厅|178.93平米|南北
房子满五，手续齐全，看房子方便,弘基三期,165,"18,685元/平",中楼层(共10层)2室2厅|88.31平米|南北
新华人家C区 2室1厅 南 北,新华人家C区,42.8,"5,909元/平",中楼层(共5层)2室1厅|72.44平米|南北
三室五明户型，一步到位，总房款低,中盛秀山丽水,80,"9,007元/平",中楼层(共6层)3室1厅|88.82平米|南北
绿波小区 2室1厅 南 北,绿波小区,69.8,"8,619元/平",高楼层(共7层)2室1厅|80.99平米|南北
房子是房主一手装修，材料环保，楼层好，视野好,亿城御景湾,25.8,"5,352元/平",高楼层(共33层)1室1厅|48.21平米|南
中山区 虎滩路2楼 步行可以到渔人码头 有地铁,虎滩路,55,"11,770元/平",中楼层(共5层)2室1厅|46.73平米|南西
五明户型 南北通透两室 高新二校 位置方便,中铁诺德滨海花园B区,135,"19,117元/平",低楼层(共18层)2室2厅|70.62平米|南北
地铁口，交通便利，楼层好，国家街  育文,祥和新家园,65,"13,040元/平",中楼层(共6层)1室1厅|49.85平米|南北
亿城御景湾 2室1厅 南 北,亿城御景湾,39.5,"5,583元/平",中楼层(共17层)2室1厅|70.76平米|南北
跃层产品，配套齐全，交通便利，生活氛围十足,鹏辉新天居一期,106,"16,871元/平",高楼层(共5层)3室1厅|62.83平米|南北
地热的 南向阳光两房 户型方正 三楼 楼层好 采光佳,泡崖康祥园,63,"10,254元/平",中楼层(共7层)2室1厅|61.44平米|南
中山区 一室一厅中间楼层 南向采光好 没坡 近车站,山屏东街,36,"8,162元/平",中楼层(共6层)1室1厅|44.11平米|南
桃源街　山海巷　一室南向采光好　户型规矩,山海巷,18.5,"5,566元/平",高楼层(共6层)1室1厅|33.24平米|南
融创C位高楼层200来米楼间距三室两卫精装修全天采光,融创海逸长洲二期,175,"13,199元/平",高楼层(共33层)3室2厅|132.59平米|南北
万科三室精装洋房，南北通厅户型，中间楼层，视野好,万科新都会,148,"15,637元/平",中楼层(共9层)3室2厅|94.65平米|南北
房子户型好，采光好，中间楼层，有钥匙,工人村,56.5,"10,140元/平",中楼层(共5层)2室1厅|55.72平米|南北
高泰里 一楼 南北通厅 总房款少 位置好 成熟社区,高泰里,58,"7,237元/平",低楼层(共5层)1室2厅|80.15平米|南北
碧海尚城 1室1厅 南,碧海尚城,55,"8,765元/平",中楼层(共25层)1室1厅|62.75平米|南
雅馨苑 五楼 南北通透 采光好诚心卖 有阁楼,雅馨苑,52,"7,790元/平",高楼层(共5层)4室2厅|66.76平米|南北
