用户名,等级,评论内容,时间,点赞数
呃呃呃炒,5,小米要是能把澎湃也整成独立系统就好了目前只能把希望放在米华这两个公司上了,2024-06-27 09:16,0
快乐的果粒喵,5,有uniapp那味了,2024-06-27 09:08,1
真正的龙须牛肉丝,6,这不是两天前的视频吗 为啥动态又刷到了,2024-06-27 08:56,1
不想走开的猫,6,千万不要忘记P50啊，当年可还是有我这样的傻子冲4G的顶配P50只为麒麟9000的,2024-06-27 08:49,0
嘿哈嘿哈248,3,几千个伙伴的支持？几千个伙伴被迫雇程序员专门做一个终端，还不知道能收到多少费,2024-06-27 08:21,0
热心邻居宋某,4,Nova8和mate60pro 用户,2024-06-27 08:21,0
一之濑琴美2001,4,@Kimi智能助手,2024-06-27 08:15,0
诸葛穆雷,6,即使这样，秘书这个行业你也替代不了,2024-06-27 08:12,2
嵯峨飞鸟,6,画面分辨率大小都不同保证体验一致，哈哈,2024-06-27 08:06,0
别枝栖雀,5,+,2024-06-27 07:42,0
陈二狗狗狗,6,能像ios一样防网络足迹筛查吗,2024-06-27 07:27,1
努力升六级,2,,2024-06-27 07:14,0
bilibiliSC,6,荣耀：笔记我记起来了,2024-06-27 07:08,0
摇可知热,4,"阿里郎：安卓系统+高通芯片
华为：鸿蒙系统+麒麟芯片
小米：安卓系统+高通芯片
华为与阿里郎相似度：0%
小米与阿里郎相似度：100%",2024-06-27 06:58,15
账号巳拄销,6,一次性开发这个不抱希望，手机平板还好。手机软件界面同步到手表上总不能指望页面直接硬装上去吧,2024-06-27 06:47,1
5cfa840f,6,典型黑子叫“阿里郎”,2024-06-27 05:57,0
卓妙,5,"L5AI帮我玩游戏，L5AI帮游戏公司开发游戏
我只需要氪金就好了，而AI要考虑的可就很多了",2024-06-27 05:47,1
摩法劈风,3,@极客湾Geekerwan 有空把手机处理器榜单数据补全一下，别老整这些有的没得,2024-06-27 05:03,0
真理部旭子,6,系统内置党群服务中心吗,2024-06-27 04:36,2
爱尔兰mutch,6,这些生产力和交互体验都是大学及以上才能感受的到的，尤其是研究生和工作的，考虑到中小学生的使用场景，还是追求网游相关的吧,2024-06-27 04:18,0
爱尔兰mutch,6,毕竟美帝严选,2024-06-27 04:14,0
_ocislu,5,鸿蒙next这几个特性让人眼前一亮，多设备体验一致性，插件官方原生化，给数据而不是给权限。这都是安卓难以解决的顽疾啊。甚至ios也没能做的很好。后发有后发的优势，理念更先进，没有历史包袱。唯一打问号的是鸿蒙的design够不够先进，ios我认为最厉害就是它的设计理念了，各处都能体现出符合直觉的人性化。希望鸿蒙真的能发展起来！成为下一个ios走向世界。,2024-06-27 03:49,0
可乐酸奶果冻,6,不知道为啥都要和苹果比，在一个水平线上吗,2024-06-27 02:40,1
bili_7109452686,6,不可能是从0到1的操作系统,2024-06-27 02:21,1
老实憨厚的塔子丶,5,123123,2024-06-27 02:05,0
老实憨厚的塔子丶,5,。。。。。。,2024-06-27 02:04,0
极吧湾Geekewan,6,华为用户总给人一种第一次使用智能手机的感觉,2024-06-27 01:54,10
ShroomsAfterSex,6,遥遥领先,2024-06-27 01:54,1
ReRtdc,5,恭喜400w,2024-06-27 01:52,1
_Slipknot,6,中心化有点严重，甜点还是在一些舒适区开发，一旦出来，可能就没那么美好了。在泛化和特化中，希望华为能找到自己的平衡。,2024-06-27 01:37,3
MK中杯可乐,5,开了动态自动推送，所以是商单？,2024-06-27 01:23,14
31515638710_bili,5,心动了，想搞一台玩玩。,2024-06-27 01:19,0
本子珊,6,四百万粉恭喜！,2024-06-27 01:11,0
狐狸兔FoxHare,6,某一个小而美软件适配完成了吗,2024-06-27 01:09,0
肥皂大保士,6,其实游戏什么的都是后话，游戏需要玩的人多，才会适配这个端，毕竟是移动端设备。我觉得，鸿蒙可以开始做独占生产力工具了，三维家装，三维工业图纸，照片管理与P图，视频剪辑。可以做起来了。小厂蓝海。还能借助ai能力。,2024-06-27 01:06,1
Alpha_Qian,4,允许应用侧载吗，我手机里有高达50多个非官方渠道获取的应用,2024-06-27 00:45,3
阡陌怨恨,5,富哥多支持支持,2024-06-27 00:45,0
甜辣双卷,6,等一款鸿蒙的平价mac很久了honor和matebook都挺好的，比mac就差在系统。打通手机和pad和笔记本，外出办公都不知道有多爽,2024-06-27 00:31,0
我爱吃果昔,5,遥遥领先,2024-06-27 00:31,0
搁_浅___,5,轻舟已过万重山！,2024-06-27 00:25,0
扌亻氵,4,@无名的高中生,2024-06-27 00:17,0
是千叶鸭,5,这个场景真是非常梦幻，也只有我们中国的环境和背景能做到这样。目前只是希望以后普及了对消费者好一点，比如商店抽成，商品价格……如果跟国研处理器一起合作，说不定真的有可能成为超越苹果软硬件结合的强大存在,2024-06-27 00:01,14
哎哟JOJO,5,太强了，不得了,2024-06-27 00:01,0
冷暖自知莫问归期,4,"笔记
这玩意发力了",2024-06-26 23:42,2
红豆泥司腻马赛,5,"笔记
这是真急啊",2024-06-26 23:40,7
Jerryhsu55,5,要是AI把你银行卡钱转走怎么办？,2024-06-26 23:39,0
玩长板的索隆,6,HDC那个背包好看看🐟挂199一个想买,2024-06-26 23:36,0
等待夏天的蝉,6,“安卓早就有了”“这不就是抄苹果的”还有别的话术没，大哥们看看这样能赚到钱不,2024-06-26 23:35,4
轻舟已过万猴山,5,讲个鬼故事，我4年前的mate40rs更新4.2后，比刚买的时候还流畅，除了每天提醒我可用内存不足5%更新到next，该有多爽我不敢想,2024-06-26 23:34,1
Barrrrrt,6,刚买了荣耀，耀子，咱要不还是回家吧,2024-06-26 23:28,0
小仙女是皮皮虾,6,只能说弹幕里那些说“ios早有了”的是真的逆天,2024-06-26 23:19,12
大橘猫以大橘为重,6,可以开发黄油吗？,2024-06-26 23:12,0
飞跃暹罗的懒惰翻译官,5,因为我现在用着苹果手机，华为再好我也忽略其优点放大其缺点甚至偏袒苹果，等哪天我换了华为，我再看待苹果也是如此。,2024-06-26 23:12,1
法国士兵在柏林,5,笑点解析：日程和短信功能部分介绍联系人是刘涛，致敬牢罗,2024-06-26 23:00,1
忧郁的泡泡龙,6,标题都应该用中文。建立一套中文的体系！,2024-06-26 22:59,0
JJJosam,6,“感谢”牢美“给”我的工作。要不是制裁我也进不了华为做芯片工程师华为冲！！,2024-06-26 22:59,9
Richardxiong710,6,华为的客服，耐心得我都有点不好意思......,2024-06-26 22:43,1
JNDPyth,4,下一代可以考虑了,2024-06-26 22:41,0
城中痴儿,5,原来之前都是套壳？连小孩子都在传华为自研系统，结果你告诉我之前都是套壳？,2024-06-26 22:37,7
慢奏,5,"用安卓=技术不行被掐脖子
安卓鸿蒙混合=套皮安卓
纯鸿蒙=阿里郎
无敌了",2024-06-26 22:37,16
Happier---,4,华为应用市场貌似可以手动改地区来下载国外软件来着,2024-06-26 22:36,0
四谷ゆみ,6,"01:59这表不太严谨。
SQLite就是一个C库，基本上啥操作系统都能用，也不是什么谷歌的技术，安卓这里要写这个那旁边苹果也能写，左边我估计用起来也没毛病。UserDefaults顾名思义，它其实也不太像一般用来存取数据那种数据库，不过问题不大。
Flutter算是谷歌的，但是它是跨平台的，安卓这一格要写那隔壁iOS也能写上去。要写跨平台的框架在这里那MAUI、Avalonia、ReactiveNative也能写上去。
编程框架这一行列的全是声明式的UI框架可以理解，但是哪怕是原生技术对于安卓和iOS来说这里列出的都不是唯一选择。
编程语言也只列的原生支持的旗舰语言，可以理解，但是依然不是唯一选择。",2024-06-26 22:36,8
风一样k人,6,那我买哪几款手机才能享受到呢,2024-06-26 22:32,0
枫Dimension,5,哎 第三方应用可能用不了了 华为NOVA12PEO李跳跳会消失吗,2024-06-26 22:29,1
Richardxiong710,6,"看到说鸿蒙“连哄带蒙”的弹幕也是绷不住...... 
大哥，都快4年了，我家里都5台设备用鸿蒙了。你们培训的时候不换话术的吗？",2024-06-26 22:27,3
冉香,5,用控件确实是个很不错的想法，但是我觉得很容易出现兼容性的问题，除非控件的api每次更新都不变，不然会出现同样调用这个控件，某些应用一直没有更新，调用旧的api，而新应用使用新特性，两者就会产生冲突。那要是每个版本的特性都保留，那最后臃肿的就不是应用了，而是通用控件吧,2024-06-26 22:23,2
Yashoku雫霁,6,400万了?,2024-06-26 21:57,0
THUNDER_ZSZ,4,必须鞭策一下小米，实在不行干脆用鸿蒙得了,2024-06-26 21:51,3
酷鸭子,6,有新的系统加入是好事，但是这个生态真的做得起来吗，我觉得难啊，比如安全部分，各家的应用就是想要权限拿你的数据，你这限制了别人偷数据，真的有第三方愿意开发应用给NEXT吗,2024-06-26 21:47,3
江涯岭a,5,篮球中心是我离老余最近的一次,2024-06-26 21:41,0
小果恋上豆豆,6,科技板块的大主线地位有望重新确认，AI人工智能的发展前景广阔，消费电子板块有望迎来一波新的行情，加仓159732,2024-06-26 21:41,1
骑士上壁画冒险家曜哥,4,不过在全球还是被孤立的厉害，用Unity打包出来的apk放在鸿蒙上先是RayImage失效，还得重新赋一遍，调用有些内置函数也出现问题，Unity也不承认存在鸿蒙,2024-06-26 21:40,1
--kg,6,同期待next,2024-06-26 21:32,0
light_of_will,5,挺好的，立场筛选器,2024-06-26 21:17,0
请输入用户名____,6,好像不支持侧载，像我这种喜欢用修改版、预装版软件的，或者是国外冷门应用...看来是无缘了....不过挺适合父母辈的，反正他们也不瞎折腾手机,2024-06-26 21:13,0
