2024-10-23 15:10:19,052 - rpa - DEBUG - 
+--------------------+------+---------------+----------+---------------+----------+
|        名称        | 行次 | 年初余额xpath | 年初余额 | 期末余额xpath | 期末余额 |
|    长期待摊费用    |  27  | ******************** |   0.0    |               |   0.0    |
|   其他非流动资产   |  28  | ******************** |   0.0    |               |   0.0    |
|   非流动资产合计   |  29  | ******************** |   0.0    |               |   0.0    |
|      资产合计      |  30  | ******************** |   0.0    |               |   0.0    |
|      短期借款      |  31  | ******************** |   0.0    |               |   0.0    |
|      应付票据      |  32  | ******************** |   0.0    |               |   0.0    |
|      应付账款      |  33  | ******************** |   0.0    |               |   0.0    |
|      预收账款      |  34  | ******************** |   0.0    |               |   0.0    |
|    应付职工薪酬    |  35  | ******************** |   0.0    |               |   0.0    |
|      应交税费      |  36  | ******************** |   0.0    |               |   0.0    |
|      应付利息      |  37  | ******************** |   0.0    |               |   0.0    |
|      应付利润      |  38  | ******************** |   0.0    |               |   0.0    |
|     其他应付款     |  39  | ******************** |   0.0    |               |   0.0    |
|     长期应付款     |  40  | ******************** |   0.0    |               |   0.0    |
|    流动负债合计    |  41  | ******************** |   0.0    |               |   0.0    |
|      长期借款      |  42  | ******************** |   0.0    |               |   0.0    |
|    其他流动负债    |  43  | ******************** |   0.0    |               |   0.0    |
|      递延收益      |  44  | ******************** |   0.0    |               |   0.0    |
|   其他非流动负债   |  45  | ******************** |   0.0    |               |   0.0    |
|   非流动负债合计   |  46  | ******************** |   0.0    |               |   0.0    |
|      负债合计      |  47  | ******************** |   0.0    |               |   0.0    |
| 实收资本（或股本） |  48  | ******************** |   0.0    |               |   0.0    |
|      资本公积      |  49  | ******************** |   0.0    |               |   0.0    |
|      盈余公积      |  50  | ******************** |   0.0    |               |   0.0    |
|     未分配利润     |  51  | ******************** |   0.0    |               |   0.0    |
|     所有者权益     |  52  | ******************** |   0.0    |               |   0.0    |
|  负债和所有者权益  |  53  | ******************** |   0.0    |               |   0.0    |
+--------------------+------+----------------------+----------+---------------+----------+
2024-10-23 15:31:50,901 - rpa - DEBUG - 
+--------------------+------+----------------------+----------+---------------+----------+
|        名称        | 行次 |    年初余额xpath     | 年初余额 | 期末余额xpath | 期末余额 |
+--------------------+------+----------------------+----------+---------------+----------+
|      货币资金      |  1   | ******************** |   0.0    |               |   0.0    |
|      短期投资      |  2   | ******************** |   0.0    |               |   0.0    |
|      应收票据      |  3   | ******************** |   0.0    |               |   0.0    |
|      应收账款      |  4   | ******************** |   0.0    |               |   0.0    |
|      预付账款      |  5   | ******************** |   0.0    |               |   0.0    |
|      应收股利      |  6   | ******************** |   0.0    |               |   0.0    |
|      应收利息      |  7   | ******************** |   0.0    |               |   0.0    |
|     其他应收款     |  8   | ******************** |   0.0    |               |   0.0    |
|        存货        |  9   | ******************** |   0.0    |               |   0.0    |
|    其中：原材料    |  10  | ******************** |   0.0    |               |   0.0    |
|       在产品       |  11  | ******************** |   0.0    |               |   0.0    |
|      库存商品      |  12  | ******************** |   0.0    |               |   0.0    |
|      周转材料      |  13  | ******************** |   0.0    |               |   0.0    |
|    其他流动资产    |  14  | ******************** |   0.0    |               |   0.0    |
|    流动资产合计    |  15  | ******************** |   0.0    |               |   0.0    |
|    长期债券投资    |  16  | ******************** |   0.0    |               |   0.0    |
|    长期股权投资    |  17  | ******************** |   0.0    |               |   0.0    |
|    固定资产原价    |  18  | ******************** |   0.0    |               |   0.0    |
|    减：累计折旧    |  19  | ******************** |   0.0    |               |   0.0    |
|  固定资产账面价值  |  20  | ******************** |   0.0    |               |   0.0    |
|      在建工程      |  21  | ******************** |   0.0    |               |   0.0    |
|      工程物资      |  22  | ******************** |   0.0    |               |   0.0    |
|    固定资产清理    |  23  | ******************** |   0.0    |               |   0.0    |
|   生产性生物资产   |  24  | ******************** |   0.0    |               |   0.0    |
|      无形资产      |  25  | ******************** |   0.0    |               |   0.0    |
|      开发支出      |  26  | ******************** |   0.0    |               |   0.0    |
|    长期待摊费用    |  27  | ******************** |   0.0    |               |   0.0    |
|   其他非流动资产   |  28  | ******************** |   0.0    |               |   0.0    |
|   非流动资产合计   |  29  | ******************** |   0.0    |               |   0.0    |
|      资产合计      |  30  | ******************** |   0.0    |               |   0.0    |
|      短期借款      |  31  | ******************** |   0.0    |               |   0.0    |
|      应付票据      |  32  | ******************** |   0.0    |               |   0.0    |
|      应付账款      |  33  | ******************** |   0.0    |               |   0.0    |
|      预收账款      |  34  | ******************** |   0.0    |               |   0.0    |
|    应付职工薪酬    |  35  | ******************** |   0.0    |               |   0.0    |
|      应交税费      |  36  | ******************** |   0.0    |               |   0.0    |
|      应付利息      |  37  | ******************** |   0.0    |               |   0.0    |
|      应付利润      |  38  | ******************** |   0.0    |               |   0.0    |
|     其他应付款     |  39  | ******************** |   0.0    |               |   0.0    |
|     长期应付款     |  40  | ******************** |   0.0    |               |   0.0    |
|    流动负债合计    |  41  | ******************** |   0.0    |               |   0.0    |
|      长期借款      |  42  | ******************** |   0.0    |               |   0.0    |
|    其他流动负债    |  43  | ******************** |   0.0    |               |   0.0    |
|      递延收益      |  44  | ******************** |   0.0    |               |   0.0    |
|   其他非流动负债   |  45  | ******************** |   0.0    |               |   0.0    |
|   非流动负债合计   |  46  | ******************** |   0.0    |               |   0.0    |
|      负债合计      |  47  | ******************** |   0.0    |               |   0.0    |
| 实收资本（或股本） |  48  | ******************** |   0.0    |               |   0.0    |
|      资本公积      |  49  | ******************** |   0.0    |               |   0.0    |
|      盈余公积      |  50  | ******************** |   0.0    |               |   0.0    |
|     未分配利润     |  51  | ******************** |   0.0    |               |   0.0    |
|     所有者权益     |  52  | ******************** |   0.0    |               |   0.0    |
|  负债和所有者权益  |  53  | ******************** |   0.0    |               |   0.0    |
+--------------------+------+----------------------+----------+---------------+----------+
