名称,总价,单价,地址,信息,标签
体育馆对 面 业主诚心出售 看房方便 有车库,110万,"7,237元/平",中诚信鼎盛时代 -永基广场商圈,3室2厅 | 152平米 | 南 | 简装 | 低楼层(共13层)  | 板塔结合,VR看装修
地理位置好，绿化好、公园、公交车、菜场 车位,100万,"8,850元/平",红星海河湾天铂 -亭湖商圈,4室2厅 | 113平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,VR看装修
锦盛豪庭·北苑 2室1厅 南,69.8万,"8,026元/平",锦盛豪庭·北苑 -中南商圈,2室1厅 | 86.97平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,VR看装修/随时看房
东进华都 中上楼层 大2房双阳台随时看房 有钥匙,50万,"5,301元/平",东进华都 -潘黄商圈,2室1厅 | 94.33平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,VR看装修/随时看房
新弄里旁 中南十二期 刚满两年 毛坯随心装,126万,"12,568元/平",中南世纪城十二期悦城 -中南商圈,3室2厅 | 100.26平米 | 北 南 | 毛坯 | 30层  | 塔楼,VR看装修/随时看房
南金鹰 南三院旁 采光好 诚心出售,86万,"9,252元/平",宏都花园 -聚龙湖商圈,2室2厅 | 92.96平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR房源
城东景山旁 品质小区珺悦府，满两年，中间楼层,165.8万,"11,514元/平",碧桂园珺悦府 -亭湖高中商圈,4室2厅 | 144平米 | 南 | 毛坯 | 低楼层(共14层)  | 板楼,VR看装修/随时看房
新苑小区5楼，非顶楼，总价低，有车库,82.8万,"9,710元/平",新苑小区（二三四区） -缤纷亚洲商圈,2室2厅 | 85.28平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,VR看装修/随时看房
神州路港龙华侨城旁翰林壹品精装修三房给车库,115万,"10,110元/平",翰林壹品城 -麦德龙商圈,3室2厅 | 113.76平米 | 北 南 | 精装 | 中楼层(共18层)  | 板楼,VR看装修
神州路旁观棠府 紧靠融创 品质小区 诚心出售,90万,"9,001元/平",观棠府 -麦德龙商圈,3室2厅 | 99.99平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
神州教育旁上西环路高方便的小区天澜湾精装飞机户三房,95万,"7,745元/平",天澜湾 -麦德龙商圈,3室2厅 | 122.67平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,VR房源/随时看房
视野开阔，总价低，看房提前联系,99.8万,"10,683元/平",南苑小区(亭湖区) -缤纷亚洲商圈,3室2厅 | 93.42平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR看装修
香苑西园 精装修 大平层 好楼层 满五唯一 税少,171万,"12,748元/平",香苑西园 -中南商圈,3室2厅 | 134.14平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,VR看装修
中南世纪城鼎城 精装三房  含产权车位 中上楼层,116万,"13,286元/平",中南世纪城鼎城 -中南商圈,3室2厅 | 87.31平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,VR看装修/随时看房
城南光明花苑|配套优秀|成熟小区，钥匙在手随时看房,50万,"6,579元/平",光明东苑 -中南商圈,2室1厅 | 76平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,VR看装修/随时看房
城南芯 | 中南8期开发商装修未入住 | 产证满二,106万,"10,303元/平",中南世纪城景城一区  -中南商圈,3室2厅 | 102.89平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,VR看装修/随时看房
华师大旁，荣悦华府，精装大三房，好楼层，拎包即住,118万,"9,151元/平",荣悦华府 -中南商圈,3室2厅 | 128.95平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,VR看装修/随时看房
中南城旁 精装2房 楼层好 拎包入住 房东诚心出售,87万,"9,151元/平",中南世纪城珺城 -中南商圈,2室2厅 | 95.08平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,VR看装修
城南四季金辉 毛坯三房双卫 带入户花园 看房方便,99.8万,"9,222元/平",四季金辉 -中南商圈,3室2厅 | 108.23平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,VR看装修/随时看房
串场河畔 金辉优步水岸 三房 景观楼栋  视野好,108万,"9,337元/平",金辉优步水岸 -中南商圈,3室2厅 | 115.68平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,VR看装修/随时看房
香槟公馆三房 精装修 边户 采光好 诚心出售,128万,"9,482元/平",香槟公馆 -麦德龙商圈,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,VR看装修/随时看房
锦盛豪庭北苑65.55平精装50万,50万,"7,628元/平",锦盛豪庭·北苑 -中南商圈,1室1厅 | 65.55平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,VR看装修/随时看房
森林氧吧， 品质物业 全新自住精装 保养好。,102万,"8,226元/平",钱江绿洲 -崇礼路商圈,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,VR看装修
北金鹰旁，同曦文昌府，毓龙路，户型好,155万,"8,700元/平",同曦鸣城文昌府 -北金鹰商圈,4室2厅 | 178.17平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,VR看装修/随时看房
北师大旁 凤樾府 三房 双阳台 采光充足 配套设备齐全,73万,"7,935元/平",盐城·凤樾府 -亭湖商圈,3室2厅 | 92平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,VR看装修/随时看房
中海物业，城南好位置 四开间朝南 中式装修 有车库,258.8万,"17,120元/平",中海万锦公馆 -中南商圈,4室2厅 | 151.17平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,VR看装修
出售祥生金麟府中间楼层四室满二过户不贵毛坯,135万,"10,140元/平",祥生金麟府 -东台市,4室2厅 | 133.14平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,VR看装修/随时看房
中南世纪城五期，精装三房，拎包即住 全天采光.,102万,"11,001元/平",中南世纪城五期 -中南商圈,3室2厅 | 92.72平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,VR看装修
昕悦府 3室2厅 南,89万,"7,707元/平",昕悦府 -潘黄商圈,3室2厅 | 115.49平米 | 南 | 精装 | 低楼层(共25层)  | 暂无数据,VR看装修/随时看房
海德阳光采光充足，小区绿化比较高。商场公园菜场齐全,69万,"9,518元/平",中庚海德公园 -中南商圈,2室1厅 | 72.5平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,VR房源
东景山青年路 保利紫荆公馆 好楼层三室朝南 看中可谈,94.8万,"9,911元/平",保利紫荆公馆 -亭湖高中商圈,3室2厅 | 95.66平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,VR看装修/随时看房
视野宽阔，采光充足，配套设施齐全，交通便利,167万,"11,518元/平",香苑西园 -中南商圈,3室1厅 | 145平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,VR看装修/随时看房
神州路港龙华侨城旁翰林壹品精装修三房给车库,115万,"10,110元/平",翰林壹品城 -麦德龙商圈,3室2厅 | 113.76平米 | 北 南 | 精装 | 中楼层(共18层)  | 板楼,VR看装修
东进华都 中上楼层 大2房双阳台随时看房 有钥匙,50万,"5,301元/平",东进华都 -潘黄商圈,2室1厅 | 94.33平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,VR看装修/随时看房
新弄里旁 中南十二期 刚满两年 毛坯随心装,126万,"12,568元/平",中南世纪城十二期悦城 -中南商圈,3室2厅 | 100.26平米 | 北 南 | 毛坯 | 30层  | 塔楼,VR看装修/随时看房
神州路旁观棠府 紧靠融创 品质小区 诚心出售,90万,"9,001元/平",观棠府 -麦德龙商圈,3室2厅 | 99.99平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
南金鹰 南三院旁 采光好 诚心出售,86万,"9,252元/平",宏都花园 -聚龙湖商圈,2室2厅 | 92.96平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR房源
城南中南锦盛豪庭南郡小平方75万,75万,"10,461元/平",锦盛豪庭·南郡 -中南商圈,2室1厅 | 71.7平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,VR看装修/随时看房
城北 新洋旁 德惠尚书府旁阳光嘉园3房 带车库,59.8万,"5,759元/平",阳光嘉园 -白马商圈,3室2厅 | 103.85平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,VR房源/随时看房
香城世家 前排  楼层好，采光好 ，3房2厅,118万,"10,467元/平",香城世家 -麦德龙商圈,3室2厅 | 112.74平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,VR看装修/随时看房
中海品质 洋房 有车位 随时看房,219.8万,"16,162元/平",中海万锦北园 -中南商圈,4室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,VR看装修/随时看房
丽都怡园诚心出售 挑高两层 住宅性质,71.8万,"14,360元/平",丽都怡园 -聚龙湖商圈,2室2厅 | 50平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,VR房源/随时看房
城发瑞府 3室2厅 南,102.8万,"10,384元/平",城发瑞府 -东台市,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,VR看装修
城南 奥体玫瑰园 三房 好楼层,98万,"9,391元/平",奥体玫瑰园B区 -中南商圈,3室2厅 | 104.36平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,VR看装修/随时看房
此房格局好，采光很好，阳光充足，一梯一户户型正,106万,"9,020元/平",紫云府 -东台市,4室2厅 | 117.52平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,VR看装修
城东经开区 好地段 宝龙广场 前面可以弄个院子呢,92万,"10,024元/平",城东宝龙广场 -亭湖商圈,3室2厅 | 91.78平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,VR看装修/随时看房
凤麟府精装大三房楼层好采光好双阳台拎包即住,118万,"10,000元/平",凤麟府 -麦德龙商圈,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,VR看装修/随时看房
悦棠湾，碧桂园，晨光，恒大全新装修 未入住,75.6万,"6,085元/平",东台恒大翡翠龙庭 -东台市,3室2厅 | 124.24平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,VR看装修/随时看房
城东宝龙旁  红星天铂 好楼层 精装修 采光足看房方便,83万,"8,300元/平",红星海河湾天铂 -亭湖商圈,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,VR看装修
房东自住的家里用的都是真材实料,129.8万,"12,092元/平",吾悦和府北区 -东台市,3室2厅 | 107.35平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,VR看装修/随时看房
房东诚心出售，看房方便，价格可谈,63.8万,"5,938元/平",春溪雅苑 -东台市,3室1厅 | 107.46平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,VR房源
总价低 楼层好 采光好 满二年 21年新装修的房子,89.8万,"10,205元/平",锦盛豪庭·南郡 -中南商圈,2室2厅 | 88平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,VR看装修
聚龙湖三房精装修通透，2房朝南动静分离,101万,"8,039元/平",华厦绿城 -聚龙湖商圈,3室1厅 | 125.64平米 | 东南 | 精装 | 低楼层(共11层)  | 塔楼,VR看装修
城南大洋房，大横厅，四房两卫，采光无遮挡，随时看,196万,"12,328元/平",中海万锦公馆 -中南商圈,4室2厅 | 159平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,VR看装修/随时看房
城南海德公园，两房小美风，78w，好楼层，大金空调,78万,"10,144元/平",中庚海德公园 -中南商圈,2室2厅 | 76.9平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,VR看装修/随时看房
此房产权清晰，配套好，精装，户型方正，视野宽阔,115万,"8,976元/平",东河苑 -东台市,3室2厅 | 128.12平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,VR看装修/随时看房
央企品质洋房 毛坯自主装修 有产权车位 双阳台 满二年,218万,"16,081元/平",中海万锦南园 -中南商圈,4室2厅 | 135.57平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,VR看装修/随时看房
城南魔力月光旁 精装三室 采光无遮挡,99.8万,"11,350元/平",中南世纪城鼎城 -中南商圈,3室2厅 | 87.93平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,VR看装修
中南九期 城南高品质住宅 精装修 看房方便,118.8万,"10,366元/平",中南世纪城9期 -中南商圈,3室2厅 | 114.61平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,VR看装修/随时看房
中海品质小区 精装修3室有地暖 低总价房龄新 物业好,113万,"11,546元/平",中海万锦南园 -中南商圈,3室2厅 | 97.87平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,VR看装修/随时看房
聚龙湖南金鹰旁 中海世纪公馆 精装三房 满五唯一税少,102.8万,"10,566元/平",中海世纪公馆 -聚龙湖商圈,3室2厅 | 97.3平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,VR看装修
港龙华侨城 大面积 低总价 精装大3房，拎包入住,103.8万,"7,918元/平",港龙华侨城 -麦德龙商圈,4室2厅 | 131.11平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,VR房源/随时看房
改善户型，满足一家老小生活所需，楼层好 ，采光佳。,131万,"9,947元/平",中海华樾 -麦德龙商圈,4室2厅 | 131.71平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
新日月翠洲嘉园 精装  诚心卖,56万,"6,604元/平",新日月翠洲嘉园 -万达商圈,2室1厅 | 84.8平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,VR房源
房东置换诚意出售 交通便利 商圈配套成熟 满五税少,86.8万,"9,008元/平",中南世纪城珺城 -中南商圈,2室2厅 | 96.36平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,VR房源/随时看房
城南聚龙湖商圈新丰花园精装3房有车库拎包入住,79.8万,"8,057元/平",新丰花园 -聚龙湖商圈,3室2厅 | 99.05平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,VR看装修/随时看房
锦海家园 71平精典两房 毛坯 自主装修,42.8万,"6,029元/平",长坝锦海家园 -双元西路商圈,2室2厅 | 71平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,VR看装修/随时看房
城南 大有境旁 奥体B区 毛坯三房 车库车位,89.8万,"8,553元/平",奥体玫瑰园B区 -中南商圈,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,VR看装修/随时看房
碧桂园天域苑精装大三房，楼层好有车位,126万,"9,131元/平",碧桂园一期 -麦德龙商圈,3室2厅 | 138平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,VR看装修
有钥匙 串场河旁 三开间朝南 双阳台 禾成花园 毛坯,69.5万,"7,715元/平",禾成花园 -永基广场商圈,3室2厅 | 90.09平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,VR看装修/随时看房
城南聚龙湖商圈凤凰汇熙园精装小高层3房拎包入住,129万,"14,247元/平",凤凰汇熙园 -聚龙湖商圈,3室2厅 | 90.55平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,VR看装修
绿地天成苑   三室精装  业主诚心出售,76.6万,"7,921元/平",绿地天成苑 -亭湖商圈,3室2厅 | 96.71平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,VR看装修/随时看房
两位小高层聚龙湖中海世纪公馆日月星城,119.8万,"10,067元/平",日月星城 -聚龙湖商圈,3室2厅 | 119.01平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,VR看装修/随时看房
盛世明都 3室2厅 南 北,115万,"9,282元/平",盛世明都 -麦德龙商圈,3室2厅 | 123.9平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,VR房源
市区稀有4房2卫户型 双阳台，配套设施齐全，出行方便,85.8万,"6,573元/平",长坝锦海家园 -双元西路商圈,4室2厅 | 130.55平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,VR看装修/随时看房
盛世明都 小洋房 一梯一户 前排全天采光，有车库车位,119.8万,"9,290元/平",盛世明都 -麦德龙商圈,3室2厅 | 128.96平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,VR看装修/随时看房
中南世纪城，新弄里隔壁，精装三房，中等楼层,112.8万,"11,511元/平",中南世纪城9期 -中南商圈,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,VR看装修/随时看房
麒麟府中间楼栋，中间楼层 四室双卫,140万,"10,820元/平",荣润麒麟府 -富康路商圈,4室1厅 | 129.4平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,VR房源
南海未来城旁 珠溪铭苑 毛坯两房 看房方便,35.8万,"4,709元/平",珠溪铭苑 -亭湖商圈,2室1厅 | 76.04平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,VR看装修/随时看房
楼层好，多层的得房率，精装修，带车库，拎包入住,87万,"7,952元/平",阳光水岸花园 -富康路商圈,3室2厅 | 109.42平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,VR看装修/随时看房
城东解放路景山 东润华庭 毛坯现房 采光充足 视野开阔,95万,"6,428元/平",东润华庭 -亭湖高中商圈,4室1厅 | 147.8平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,VR看装修/随时看房
小区前排品质 小高层 自主装修 满二年 一梯一户,189.8万,"12,264元/平",香苑东园 -中南商圈,3室2厅 | 154.77平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,VR看装修/随时看房
格局好，楼层好，视野宽阔，采光充足，配套设施齐..,102.8万,"10,078元/平",海陵首府 -东台市,2室2厅 | 102.01平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,VR看装修/随时看房
金水湾电梯洋房，满五唯一，采光刺眼，南北透通双阳台,169.8万,"11,962元/平",金水湾 -东台市,3室2厅 | 141.96平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,VR看装修/随时看房
中海品质楼盘，小高层，四开间朝南户型，好楼层,195万,"13,266元/平",中海万锦南园 -中南商圈,4室2厅 | 147平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,VR看装修/随时看房
汇文苑毛坯，2房 楼层好 视野好 采光充足 交通便利,65万,"8,497元/平",悦达汇文苑 -亭湖高中商圈,2室2厅 | 76.5平米 | 南 | 毛坯 | 中楼层(共14层)  | 板楼,VR看装修/随时看房
聚龙湖 小高层 方正户型 好楼层 诚意待售 寻有缘人,185万,"15,234元/平",通银·云璟 -聚龙湖商圈,3室2厅 | 121.44平米 | 南 | 精装 | 中楼层(共15层)  | 暂无数据,VR看装修/随时看房
城东东亭湖旁。毛坯弧形的阳台，挑高公寓。随时看房,43万,"5,120元/平",绿地缤纷城 -盐城会展中心商圈,2室2厅 | 84平米 | 东北 | 毛坯 | 高楼层(共10层)  | 塔楼,VR看装修/随时看房
解放路旁   中南世纪城七期 鼎城 唯一税少 有车位带证,140万,"11,667元/平",中南世纪城鼎城 -中南商圈,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,VR看装修/随时看房
青年组团 3室2厅 南 北,53.8万,"4,762元/平",青年组团 -永基广场商圈,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,VR看装修/随时看房
城南金鹰旁 金色蓝庭 精装三房 采光足  唯一,85万,"8,826元/平",金色蓝庭 -聚龙湖商圈,3室2厅 | 96.31平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,VR看装修
海韵家园三室两厅一厨一卫三房朝阳,56.8万,"5,197元/平",海韵嘉园 -射阳,3室1厅 | 109.3平米 | 南 | 毛坯 | 高楼层(共22层)  | 暂无数据,VR看装修/随时看房
城南 四季金辉 有入户花园 三开间朝南 采光好,98万,"9,075元/平",四季金辉 -中南商圈,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,VR看装修/随时看房
央企品质小区 毛坯自主装修 西边户 中上楼层 采光好,132万,"9,497元/平",中海万锦公馆 -中南商圈,3室2厅 | 139平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,VR看装修/随时看房
此房好楼层 户型方正 出行方便 保养好 诚意待售,163万,"12,636元/平",凤鸣缇香 -聚龙湖商圈,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,VR看装修/随时看房
楼层好，业主诚意出售，纯毛坯，随意装修。,56.8万,"6,077元/平",博雅文苑 -未知商圈,3室2厅 | 93.48平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,VR看装修/随时看房
天澜湾精装四房户型好楼层好采光好,120万,"8,392元/平",天澜湾 -麦德龙商圈,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共15层)  | 板塔结合,VR房源
