名称,总价,每平方单价,小区名称,地址,房型,面积,朝向,楼层,建造时间
景田南炸裂笋盘，特殊户型带露台!!诚信卖！,568万,67668元/㎡,时代华庭,福田-景田南-商报东路15号,3室2厅1卫,83.94㎡,西北,低层(共29层),2000年建造
前海花园小区专家韩，进，衍还有多套总价4字头到5字头,590万,69543元/㎡,前海花园,南山-前海-桃园路288号,3室2厅1卫,84.84㎡,南北,中层(共17层),2004年建造
双地铁口高端楼盘  户型方正  户户朝南 户型实用率高价格笋,680万,84128元/㎡,泰华阳光海,宝安-碧海湾-悦和路6号,3室2厅1卫,80.83㎡,南,高层(共25层),2008年建造
福田南外 地铁口 户型方正南向三居 可评高,468万,55708元/㎡,南光名仕苑,福田-皇岗-菩堤路48号,3室1厅1卫,84.01㎡,东,低层(共24层),2000年建造
交通便利 医疗配套成熟 双卫生间 南北通透 停车方便 次新房,460万,53526元/㎡,星河时代,龙岗-大运-爱南路666号,3室2厅2卫,85.94㎡,南北,低层(共26层),2019年建造
独树阳光里  罗湖新房 单价五W可谈,690万,70409元/㎡,独树阳光里(新房),罗湖-布心-文锦北路与太白路交汇处（水贝地铁站B出口）,3室2厅2卫,98㎡,南,-,
近地铁盛世鹏程花园社区,688万,71960元/㎡,盛世鹏程花园,福田-上步-八卦一路,3室2厅1卫,95.61㎡,东南,低层(共32层),2005年建造
乐有家城市  ！欢迎咨询底价！,598万,65442元/㎡,前海花园,南山-前海-桃园路288号,4室2厅1卫,91.38㎡,西,高层(共17层),2004年建造
   没水分，园岭新村南北通透3室超值,660万,76531元/㎡,园岭新村,福田-园岭-笋岗西路2057号,3室2厅1卫,86.24㎡,南北,低层(共7层),1986年建造
光明超低笋盘正兆景嘉园 业主另有发展急售变现 看上价格可大刀,300万,33758元/㎡,正兆景嘉园,光明-光明-华夏二路,3室2厅1卫,88.87㎡,南,中层(共16层),2016年建造
新银座（3.O6卖） 钥匙在手 2房1厅三面采光 业主着急卖,308万,47254元/㎡,新银座华庭,罗湖-人民南-春风路3045号,2室1厅1卫,65.18㎡,北,高层(共31层),2003年建造
溪山美地园 带电梯 得房好 产权清晰 满五 高楼层采光充足,570万,65722元/㎡,溪山美地园,龙华-梅林关口-梅坂大道236号,3室2厅1卫,86.73㎡,南,高层(共25层),2009年建造
追求品质的生活，大气的户型，优雅的环境，您值得拥有！,678万,69482元/㎡,阳光棕榈园,南山-前海-前海路2057号,3室2厅2卫,97.58㎡,南北,中层(共6层),2002年建造
香蜜湖东海花园二期，豪装业主诚心出售,1488万,124843元/㎡,东海花园(二期),福田-香蜜湖-香林路22号,3室2厅2卫,119.19㎡,东,中层(共17层),2000年建造
满五 ！坪山围地铁站200米，中城花园三房，随时可以看,258万,29987元/㎡,深城投中城花园,坪山-坪山-深汕路123号,3室2厅1卫,86.04㎡,西南,高层(共39层),2019年建造
园岭新村 近地铁 满五   正南朝向 商业配套齐全 楼层好,650万,76842元/㎡,园岭新村,福田-园岭-笋岗西路2057号,3室2厅1卫,84.59㎡,南,中层(共7层),1984年建造
万科三期 中高楼层三房 东南朝向 太阳从早晒到晚,375万,43129元/㎡,万科公园里,布吉-南岭-樟富北路8号,3室2厅2卫,86.95㎡,南,中层(共31层),2017年建造
交通便利 近医院 得房好 临地铁 商品住宅 小三居,788万,90721元/㎡,万科金色家园,福田-景田北-莲花路2018号,3室2厅2卫,86.86㎡,北,低层(共23层),2000年建造
直降300万，新房现楼，  即收楼，家门口的  ，品质豪宅,691万,71980元/㎡,东海富汇豪庭(新房),罗湖-莲塘-莲塘街道聚宝路与畔山路交汇处,3室2厅2卫,96㎡,南,-,2023年建造
彩田村西南向3房，公务员大社区,660万,82131元/㎡,彩田村,福田-彩田村-莲花路1096号,3室2厅1卫,80.36㎡,西南,中层(共27层),2002年建造
留仙居~正规3居室~婚房装修~采光好空间大~不临街,255万,28652元/㎡,留仙居,南山-西丽-新高路19号,3室2厅2卫,89㎡,南北,高层(共12层),2015年建造
暴风雨来临！业主连夜降寻客户不反价，满五年税费少，只卖11月,378万,42235元/㎡,万科天誉(二期),"龙岗-龙岗中心城-龙翔大道,近德政路",3室2厅2卫,89.5㎡,东北,中层(共50层),2017年建造
星河天地 3室2厅 410.0万,410万,45811元/㎡,星河天地(一三期),光明-光明-光明大道511号,3室2厅2卫,89.5㎡,南,中层(共49层),2020年建造
南山桃园地铁口精装电梯2房，业主诚心急售，产权  ,302万,44874元/㎡,南景苑大厦,南山-南头-桃园路147号,2室2厅1卫,67.3㎡,南北,中层(共31层),2002年建造
深中  即用！装修好，厅出阳台户型，诚心卖，价格美丽！,560万,63056元/㎡,万科翰邻城,龙岗-龙岗中心城-龙平路28号,4室2厅2卫,88.81㎡,南北,低层(共32层),2011年建造
3室2厅2卫，公园旁，近地铁舒适大户型，采光充足，交通便,532万,59422元/㎡,龙光玖龙台,光明-光明-观光路,3室2厅2卫,89.53㎡,西南,中层(共35层),2017年建造
185万急售 精装三房 仙田外国语 业主诚心出售  地铁口,185万,22775元/㎡,水岸新都(五期),"龙岗-龙岗中心城-丰都一路,近坪西路",3室2厅1卫,81.23㎡,南,高层(共28层),2012年建造
福保桂花苑南向大三房，厅出阳台采光很好，社区环境好,618万,79231元/㎡,福保桂花苑,福田-保税区-桂花路19号,3室1厅1卫,78㎡,南,低层(共28层),2010年建造
福田中心区 皇御苑二期86平三房  精装修 保养好 满5  ,600万,69277元/㎡,皇御苑(二期),福田-皇岗-福田南路9号,3室2厅1卫,86.61㎡,东北,高层(共31层),2003年建造
业主诚心卖     3字头买满京华云著(二期)3房2卫 满5,360万,40414元/㎡,满京华云著(二期),宝安-松岗-松福大道,3室2厅2卫,89.08㎡,南,低层(共30层),2019年建造
雅庭苑~南北两居室~有钥匙~户型方正~采光好无遮挡,145万,16293元/㎡,雅庭苑,宝安-西乡-内环路,2室2厅2卫,89㎡,南北,中层(共13层),2019年建造
带精装修交楼，南北通透户型，户户朝南,430万,32825元/㎡,岗宏翰林汇,龙岗-平湖-溪南路与溪路路口交汇处东南角,4室2厅2卫,131㎡,南北,-,2026年建造
盛世鹏程花园高楼层精装出售,980万,73840元/㎡,盛世鹏程花园,福田-上步-八卦一路,4室2厅2卫,132.72㎡,东北,中层(共32层),2005年建造
业主着急卖 还价就卖 茗萃园 满五   刚需三居 得房好,230万,26437元/㎡,佳兆业茗萃园(二期),龙岗-平湖-平安大道176号,3室2厅1卫,87㎡,东,低层(共27层),2009年建造
福外本部花园小区3房2卫总价  ，7字头上车，  一套！,850万,86611元/㎡,景秀年华家园,福田-景田北-香梅路2040号,3室2厅2卫,98.14㎡,西南,低层(共18层),2002年建造
南航明珠花园 壹佰壹拾万急售！附赠20平，包税过户，送车位！,278万,31236元/㎡,南航明珠花园,宝安-西乡-航空路,3室2厅2卫,89㎡,南北,中层(共14层),2019年建造
业主急卖！东南向，刚需三房，满五年，中间好楼层,560万,64265元/㎡,深业东岭,罗湖-黄贝岭-深南东路1002号,3室2厅2卫,87.14㎡,南,中层(共39层),2015年建造
悦峰华府 精装修 商品房 购物方便 刚需小三居 带电梯,345万,37780元/㎡,悦峰华府,罗湖-草埔-木棉岭路4号,3室2厅1卫,91.32㎡,北,低层(共51层),2023年建造
前海 近地铁 商圈成熟 出行方便 得房率高 双卫生间 双阳,718万,65975元/㎡,阳光棕榈园,南山-前海-前海路2057号,3室2厅2卫,108.83㎡,北,中层(共6层),2002年建造
看房方便，拎包入住 企业力荐好房诚意出售,788万,73680元/㎡,聚豪园,福田-景田南-景田路18号,3室2厅1卫,106.95㎡,北,低层(共25层),2000年建造
急售14号线四联站17年次新大花园社区，万科物业，管家式服务,328万,39447元/㎡,恒地悦山湖花园,龙岗-横岗-康乐路88号,3室2厅1卫,83.15㎡,南,低层(共32层),2017年建造
万科品质花园社区，双泳池双花园好房，宽敞阳台,698万,80221元/㎡,万科金色家园,福田-景田北-莲花路2018号,3室2厅1卫,87.01㎡,北,中层(共23层),2000年建造
全新精装修 香蜜湖侨香公馆 业主急售 价格可谈 精装三房,272万,33171元/㎡,侨香公馆,福田-香蜜湖-侨香路3028号,3室2厅1卫,82㎡,南,中层(共37层),2015年建造
拾悦城一期 新房价格   即住 使用率高 看房方便,350万,40731元/㎡,拾悦城,宝安-沙井-宝安大道8181号,3室2厅2卫,85.93㎡,南,低层(共32层),2018年建造
现楼，来电直打85折（网红热盘），地铁齐全配套,727万,71981元/㎡,百合世纪广场,布吉-布吉关-锦龙路与翔鸽路交叉口,3室2厅2卫,101㎡,南,-,2024年建造
皇御苑大两房，业主很诚心卖，满五  看房方便！,390万,60654元/㎡,皇御苑(二期),福田-皇岗-福田南路9号,2室2厅1卫,64.3㎡,南,中层(共31层),2003年建造
424买仁恒公园世纪大四房！高品质小区 朝正南看花园随时看房,424万,37288元/㎡,仁恒公园世纪(二期),龙岗-爱联-爱南路,4室2厅2卫,113.71㎡,南,高层(共32层),2019年建造
南山科技园旁20年次新精装三房 近公园地铁 企业力荐好房,648万,69700元/㎡,乐尚林居,南山-南头-中山园路,3室2厅2卫,92.97㎡,南,低层(共29层),2019年建造
5xx三房两卫星河物业明星楼盘星河雅居，人车分流正规三房。,580万,60493元/㎡,星河雅居,福田-新洲-新洲九街273号,3室2厅2卫,95.88㎡,南,中层(共33层),2000年建造
观山盛苑 高楼层采光充足 近地铁 南向采光好 商业配套齐全,245万,39396元/㎡,观山盛苑,罗湖-布心-金稻田路,2室1厅1卫,62.19㎡,南,高层(共51层),2022年建造
梅林一村中间层大三房！推广笋盘,590万,60806元/㎡,梅林一村(五至十三区),福田-下梅林-梅林路148号,3室2厅1卫,97.03㎡,北,中层(共18层),1998年建造
悦峰尚府 正规商品房 商业配套成熟 高楼层视野好 有电梯,330万,36667元/㎡,悦峰尚府,罗湖-草埔-新棉路,3室2厅1卫,90㎡,南北,高层(共51层),2021年建造
一手业主 找小冰 深物业金领 次新小区 满五   南北通,699万,78031元/㎡,深物业金领,福田-皇岗-福田南路40号,3室2厅2卫,89.58㎡,南北,高层(共48层),2019年建造
万科物业万科红四期满五  。红本在手的。费用少,410万,46219元/㎡,万科红(四期),"布吉-百鸽笼-锦龙路,近京南路",3室2厅1卫,88.71㎡,南,低层(共31层),2015年建造
福田口岸门口 花园大社区金地物管 新豪装修 南向米埔景 急售,510万,63615元/㎡,金港豪庭,福田-皇岗-金田路1001号,2室2厅1卫,80.17㎡,南北,中层(共32层),2003年建造
急售 高层 朝东南看小区泳池 满五年 三室2卫,780万,76848元/㎡,东郡百仕达花园(四期),罗湖-水库-太宁路38号,3室2厅2卫,101.5㎡,南北,高层(共28层),2003年建造
橄榄鹏苑，错过只能去后悔，失去不能拥有,187万,31167元/㎡,橄榄鹏苑,福田-福田中心区-彩田路3030号,2室2厅1卫,60㎡,南北,中层(共30层),2015年建造
清盘特价（内部折扣）送首付！    有,455万,45050元/㎡,招商臻城(新房),布吉-慢城-吉华街道联中路与联东路交汇处,3室2厅2卫,101㎡,南,-,2023年建造
星海名城(三期) 近地铁 带电梯 交通便利 精装修 满五  ,600万,63052元/㎡,星海名城(三期),南山-前海-前海路3101号,3室2厅1卫,95.16㎡,南,高层(共28层),2004年建造
佳兆业茗萃园业主急卖85折开价就卖诚心出售,240万,26520元/㎡,佳兆业茗萃园(一期),龙岗-平湖-平安大道313号,3室2厅2卫,90.5㎡,南,中层(共27层),2010年建造
新出 两卫三房 熙璟城  满五 高楼层视野无遮挡  装修好,310万,35228元/㎡,熙璟城,龙岗-平湖-富安大道,3室2厅2卫,88㎡,东北,高层(共32层),2014年建造
南山2020年次新楼盘，业主诚心出售,476万,59980元/㎡,乐尚林居,南山-南头-中山园路,3室2厅1卫,79.36㎡,北,高层(共29层),2019年建造
宏发领域 产权清晰 精装可拎包入住 满五   双卫生间,1280万,114737元/㎡,宏发领域,宝安-宝安中心区-新湖路102号,3室2厅2卫,111.56㎡,南,中层(共32层),2007年建造
住在房子里24小时等看房的，您说价格能不好谈吗,970万,110228元/㎡,国城花园,福田-百花-百花一路1号,3室1厅1卫,88㎡,北,低层(共32层),1996年建造
拾悦城 次新房 近地铁 中间楼层 双卫生间 近医院,350万,40088元/㎡,拾悦城,宝安-沙井-宝安大道8181号,3室2厅2卫,87.31㎡,东西,中层(共32层),2019年建造
前海大花园社区业主诚心卖，力荐好房价格有惊喜！,465万,65977元/㎡,星海名城(一期),南山-前海-前海路3101号,2室2厅1卫,70.48㎡,南,低层(共9层),2000年建造
房子精装修，家私家电齐全，可以直接拎包入住,846万,97522元/㎡,星河国际花园,福田-购物公园-福华三路289号,2室2厅1卫,86.75㎡,南,低层(共30层),2003年建造
福田南外 地铁口 户型方正南向三居 可评高,468万,55708元/㎡,南光名仕苑,福田-皇岗-菩堤路48号,3室1厅1卫,84.01㎡,东,低层(共24层),2000年建造
海丰苑~南北两居室~有钥匙~户型方正~采光好无遮挡,260万,40267元/㎡,海丰苑,罗湖-国贸-人民南路3003号,3室1厅1卫,64.57㎡,南,高层(共28层),1984年建造
劲爆！山海上城天赋正规三房，业主忍痛挥泪卖，看房方便,520万,58599元/㎡,康达尔山海上城,宝安-西乡-宝安大道,3室2厅2卫,88.74㎡,东南,低层(共33层),2017年建造
新银座（3.O6卖） 钥匙在手 2房1厅三面采光 业主着急卖,308万,47254元/㎡,新银座华庭,罗湖-人民南-春风路3045号,2室1厅1卫,65.18㎡,北,高层(共31层),2003年建造
华强北 朝向好 正规商品房 高楼层视野无遮挡 出行方便,945万,90000元/㎡,华富村,福田-华强北-华富路,3室2厅2卫,105㎡,东南,高层(共43层),2023年建造
宝安沙井网红楼盘海岸城，11号线马安山地铁口，业主诚心出售！,420万,46667元/㎡,万丰海岸城,宝安-马安山-万丰中路245号,3室2厅2卫,90㎡,西北,低层(共46层),2021年建造
鹏广达山海四季城 交通便捷 精装可拎包入住 商品房 双卫格局,450万,51178元/㎡,鹏广达山海四季城,盐田-盐田-东海三街8号,4室2厅2卫,87.93㎡,南北,低层(共40层),2015年建造
业主诚心卖     3字头买满京华云著(二期)3房2卫 满5,360万,40414元/㎡,满京华云著(二期),宝安-松岗-松福大道,3室2厅2卫,89.08㎡,南,低层(共30层),2019年建造
万科三期 中高楼层三房 东南朝向 太阳从早晒到晚,375万,43129元/㎡,万科公园里,布吉-南岭-樟富北路8号,3室2厅2卫,86.95㎡,南,中层(共31层),2017年建造
房子是居家装修，家电家私齐全，可以拎包入住,720万,74327元/㎡,泰华阳光海,宝安-碧海湾-悦和路6号,4室2厅1卫,96.87㎡,南,中层(共26层),2008年建造
南山桃园地铁口精装电梯2房，业主诚心急售，产权  ,302万,44874元/㎡,南景苑大厦,南山-南头-桃园路147号,2室2厅1卫,67.3㎡,南北,中层(共31层),2002年建造
找我买东海，送固定车位，双阳台，楼下地铁口，交通方便,554万,54314元/㎡,东海富汇豪庭,罗湖-莲塘-畔山路85号,3室2厅2卫,102㎡,南北,中层(共47层),2003年建造
观山盛苑 高楼层采光充足 近地铁 南向采光好 商业配套齐全,245万,39396元/㎡,观山盛苑,罗湖-布心-金稻田路,2室1厅1卫,62.19㎡,南,高层(共51层),2022年建造
业主急卖！东南向，刚需三房，满五年，中间好楼层,560万,64265元/㎡,深业东岭,罗湖-黄贝岭-深南东路1002号,3室2厅2卫,87.14㎡,南,中层(共39层),2015年建造
全新精装修 香蜜湖侨香公馆 业主急售 价格可谈 精装三房,272万,33171元/㎡,侨香公馆,福田-香蜜湖-侨香路3028号,3室2厅1卫,82㎡,南,中层(共37层),2015年建造
星河银湖谷 满五 精装修 地铁口物业 近商场 交通方便！！！,600万,68020元/㎡,星河银湖谷,龙岗-坂田-五和大道,4室2厅2卫,88.21㎡,北,低层(共48层),2015年建造
鹏广达公园道  77平送38平 急卖,350万,39468元/㎡,山海四季城Ⅱ公园道,盐田-盐田-盐田路208号,4室2厅2卫,88.68㎡,南北,低层(共32层),2017年建造
御景翠峰 80湾豪装 南北通透大四房 地铁口物业 次新房,680万,76525元/㎡,御景翠峰,盐田-沙头角-深盐路1044号,4室2厅3卫,88.86㎡,南北,高层(共37层),2015年建造
南向2房，户型方正，精装拎包入住,800万,91408元/㎡,城中雅苑,福田-福田中心区-民田路61号,2室2厅1卫,87.52㎡,南北,低层(共33层),2004年建造
好房新上。安静方正三居，价低税少。看房随时，豪宅品质,958万,101850元/㎡,深业花园,福田-福田中心区-福中路106号,3室2厅2卫,94.06㎡,东,中层(共26层),2001年建造
地铁口，天健豪宅，全新装修，品质高，看房方便。,1450万,117676元/㎡,天健天骄,"福田-景田北-景田西路,近商报路",3室2厅2卫,123.22㎡,西南,中层(共45层),2019年建造
希望源于失望，奋斗始于忧患适合的房子在于一个懂你的经纪人！,150万,17858元/㎡,坪洲新村(二三期)二三期,宝安-坪洲-海城路,3室2厅1卫,84㎡,南,中层(共27层),2018年建造
多层围合，低密度，管理好，深中梅香  ,699万,81851元/㎡,梅林一村(五至十三区),福田-下梅林-梅林路148号,3室2厅1卫,85.4㎡,南北,低层(共9层),1998年建造
新放盘，园东大3房，620万，红本满五，业主诚售。,620万,64236元/㎡,园东花园,福田-园岭-园岭五街1号,3室2厅2卫,96.52㎡,西北,低层(共32层),1996年建造
  少有 高层海景3房 总价4字头 视野无遮挡 很通透,499万,61212元/㎡,招商果岭花园,宝安-西乡-宝安大道,3室2厅1卫,81.52㎡,西南,高层(共34层),2012年建造
急售 高层 朝东南看小区泳池 满五年 三室2卫,780万,76848元/㎡,东郡百仕达花园(四期),罗湖-水库-太宁路38号,3室2厅2卫,101.5㎡,南北,高层(共28层),2003年建造
公明天汇城二期 新出毛坯四房 满五年  总价375万 随时看,375万,42388元/㎡,宏发天汇城(二期),光明-公明-松白路4699号,4室2厅2卫,88.47㎡,西南,中层(共32层),2018年建造
观山嘉苑新出大三房，楼层采光很好  南向 价格可谈 看房方便,325万,40124元/㎡,观山嘉苑,罗湖-布心-翠荫路490号,3室2厅2卫,81㎡,南北,低层(共49层),2022年建造
宏发领域 产权清晰 精装可拎包入住 满五   双卫生间,1280万,114737元/㎡,宏发领域,宝安-宝安中心区-新湖路102号,3室2厅2卫,111.56㎡,南,中层(共32层),2007年建造
有电梯 近地铁 房龄新 中间好楼层 双卫格局 商品住宅,390万,43821元/㎡,华盛观荟名庭,龙华-观澜-悦兴路1号,4室2厅2卫,89㎡,南,高层(共32层),2018年建造
星河盛世 装修豪华保养好 小区绿化高 南北通透 电梯房 满五,1130万,69754元/㎡,星河盛世,龙华-民治-梅龙路2号,5室2厅2卫,162㎡,南北,中层(共30层),2012年建造
7号线地铁口精装修三房，税费低安静位置，方正户型诚心出售！,799万,86745元/㎡,桃源村(三期),南山-桃源村-龙珠八路8号,3室2厅1卫,92.11㎡,北,低层(共34层),2008年建造
豪装三房，看福田CBD视野，全新装修诚心出售,558万,63302元/㎡,益田村,福田-益田村-益田路,3室2厅1卫,88.15㎡,北,高层(共32层),1995年建造
中海康城花园 电梯房 商品住宅 精装好房 中间好楼层 小三居,288万,33005元/㎡,中海康城花园,龙岗-大运-清辉路149号,3室2厅1卫,87.26㎡,西南,中层(共30层),2011年建造
地铁物业御景翠峰4房 房龄新 装修好  双卫 朝东南,540万,60505元/㎡,御景翠峰,盐田-沙头角-深盐路1044号,4室2厅2卫,89.25㎡,南北,低层(共32层),2015年建造
幸福城三期，在卖的复式4房，价格空间大，急卖！,680万,75775元/㎡,幸福城(三期),龙华-清湖-清泉路,4室2厅2卫,89.74㎡,东北,高层(共32层),2014年建造
石厦中小，大俩房！高实用，小高层，急卖,600万,72351元/㎡,合正佳园,福田-石厦-益田五路3011号,2室2厅1卫,82.93㎡,南北,低层(共25层),2003年建造
南富苑~带车位~采光充足~交通便利~    ,162万,14728元/㎡,南富苑,南山-南头-南富苑二街18号,3室2厅2卫,110㎡,南北,高层(共7层),2018年建造
佳兆业可园(南区) 车位充足 交通便捷 商品住宅 近地铁,295万,40556元/㎡,佳兆业可园(南区),布吉-百鸽笼-湖西路,2室2厅1卫,72.74㎡,北,低层(共18层),2006年建造
新出，金城大第4房价格可谈，高楼层视野好，周边配套齐全,520万,62068元/㎡,光明大第,光明-光明-观光路,4室2厅2卫,83.78㎡,东北,高层(共32层),2014年建造
7字头可售！深圳湾一号全空间东向看海3房！高层无遮挡！,7900万,252558元/㎡,深圳湾一号,南山-后海-中心路3008号,3室2厅3卫,312.8㎡,东,低层(共49层),2015年建造
西乡78平三房双阳台 附带一套公寓纯赠送,439万,56283元/㎡,京基智农山海公馆,宝安-西乡-共达路,3室2厅1卫,78㎡,东南,高层(共31层),2020年建造
南山婚房速销！35个全抛 红本过户 送车位 下楼地铁 拎包住,218万,24495元/㎡,龙珠军苑,南山-桃源村-龙苑路9号,3室2厅2卫,89㎡,南北,中层(共30层),2015年建造
新出朝南精装三房，满5装修好，业主工作调动诚心卖,588万,72539元/㎡,前海花园,南山-前海-桃园路288号,3室2厅1卫,81.06㎡,南,中层(共17层),2004年建造
坪山双地铁口，满五年税费少，高楼层朝南，价格可以商量！,223万,25076元/㎡,心海城,坪山-坪山-比亚迪路,3室2厅2卫,88.93㎡,东南,中层(共33层),2017年建造
华润品质！高楼层看风景，视野无遮挡，正南朝向，产权满五  !,790万,87245元/㎡,银湖蓝山润园,罗湖-银湖-北环大道1028号,3室2厅1卫,90.55㎡,南,高层(共32层),2015年建造
西荟城三期 业主上门放盘 诚心出售 看房方便 高楼层,385万,43361元/㎡,西荟城三期,"宝安-沙井-新沙路,近教育北路",3室2厅2卫,88.79㎡,西,高层(共32层),2015年建造
大芬地铁口千户社区 总2字头买高楼层2房,245万,35247元/㎡,桂芳园(五六期),"布吉-大芬-中翠路,近深惠公路",2室2厅1卫,69.51㎡,南北,高层(共21层),2004年建造
茗萃园，标准三 房，东南朝向，满五  ，总价238万,238万,27061元/㎡,佳兆业茗萃园(二期),龙岗-平湖-平安大道176号,3室2厅1卫,87.95㎡,南北,低层(共27层),2009年建造
这套我看过了，还不错，居家自住不择之选！,688万,69941元/㎡,梅林一村(五至十三区),福田-下梅林-梅林路148号,3室2厅2卫,98.37㎡,北,低层(共18层),1998年建造
有电梯 小三居 中间楼层 正南朝向 满五 精装好房,450万,50613元/㎡,万科金色领域,宝安-福永-宝安大道6054号,3室2厅1卫,88.91㎡,南,中层(共15层),2012年建造
业主已定房 15XX买少有C户型 中高楼层 南北通透超高使用,1500万,166908元/㎡,澳城花园(北区),南山-后海-后海滨路2013号,4室2厅2卫,89.87㎡,南北,中层(共32层),2013年建造
次新小区 双卫格局 商品房 满五 临地铁 交通便利,280万,34996元/㎡,深城投中心公馆(公寓住宅),坪山-坪山-兰竹西路33号,3室2厅1卫,80.01㎡,南北,低层(共45层),2019年建造
深城投中心公馆(公寓住宅) 满二   双卫格局 近地铁,335万,34933元/㎡,深城投中心公馆(公寓住宅),坪山-坪山-兰竹西路33号,4室2厅2卫,95.9㎡,南,低层(共40层),2020年建造
景田诚心出售 企业力荐诚意出售,618万,66452元/㎡,景田南住宅小区,福田-景田北-回雁路,4室2厅1卫,93㎡,南北,低层(共8层),1994年建造
急！！！乐尚林居 栋 精装修大三房 朝南满五年,630万,78750元/㎡,乐尚林居,南山-南头-中山园路,3室2厅1卫,80㎡,南,中层(共31层),2020年建造
汇一城刚需三房 总价5字头 配套成熟 业主诚心出售 看房方便,575万,67150元/㎡,合正汇一城,"宝安-西乡-新湖路,近悦和路",3室2厅1卫,85.63㎡,西北,低层(共32层),2013年建造
深圳湾大四房看小区花园，低成交200万！老业主处理资产,1598万,144590元/㎡,阳光海滨花园,南山-后海-后海滨路1688号,4室2厅2卫,110.52㎡,南北,低层(共32层),2012年建造
可园南向复试 看公园山景 满五年 价可谈,520万,53285元/㎡,佳兆业可园(南区),布吉-百鸽笼-湖西路,4室2厅2卫,97.59㎡,南,高层(共24层),2006年建造
绿景红树湾壹号 商业配套齐全 高楼层采光充足 刚需小三居,850万,97589元/㎡,绿景红树湾壹号,福田-沙嘴-沙嘴路,3室2厅1卫,87.1㎡,南北,高层(共42层),2018年建造
急售 莲塘笋盘 仙湖地铁站旁 聚宝华府 精致朝南三房 车位足,525万,58943元/㎡,聚宝华府,罗湖-莲塘-聚宝路101号,3室2厅2卫,89.07㎡,南,高层(共30层),2009年建造
笋盘观澜地铁口 商品房住宅 三房 朝南 小区新 出行方便,322万,36299元/㎡,深业泰然观澜玫瑰苑,龙华-观澜-观澜大道396号,3室2厅1卫,88.71㎡,南,高层(共31层),2018年建造
招商观园，精装三房，保养很好。看房有钥匙,450万,50762元/㎡,招商观园,龙华-观澜-环观南路,3室2厅1卫,88.65㎡,南,中层(共18层),2010年建造
东方明珠城，实用5房，满五无个税，随时可看房,358万,26519元/㎡,东方明珠城,龙岗-龙岗中心城-龙河路19号,5室2厅2卫,135㎡,南北,低层(共30层),2008年建造
福田石厦南7XX的次新三房 南向高楼层 空置诚心出售,728万,85648元/㎡,新天石厦花园,福田-石厦-石厦二街,3室2厅1卫,85㎡,南,高层(共44层),2015年建造
出行方便 精装修 近医院 商品住宅 临地铁 满五  ,420万,40428元/㎡,佳兆业可园(南区),布吉-百鸽笼-湖西路,3室2厅2卫,103.89㎡,北,低层(共22层),2006年建造
（新上！5号线地铁口）百鸽笼  ，精装4房诚心出售！,618万,69120元/㎡,信义金御半山(一期),布吉-百鸽笼-罗岗路,4室2厅2卫,89.41㎡,东南,中层(共33层),2015年建造
福外中小，总价 笋3房，红五一产权，业主诚心出售。,468万,53794元/㎡,景田南住宅小区,福田-景田北-回雁路,3室2厅1卫,87㎡,南北,低层(共7层),1997年建造
